Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);CO 8h - Air Quality;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - Air Quality;NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - Air Quality;PM2,5 (µg/m3);PM2,5 - Air Quality;Tolueno (µg/m3);ICA Estación
15/03/2016;0,82;;0,34;Muy buena / Oso ona;0,57;13;85;Buena / Ona;61;2,44;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;4,43;Buena / Ona
14/03/2016;0,67;;0,29;Muy buena / Oso ona;0,21;6;68;Buena / Ona;46;0,45;;Sin datos / Daturik gabe;12;Muy buena / Oso ona;0,92;Buena / Ona
13/03/2016;0,55;;0,27;Muy buena / Oso ona;0,11;2;41;Muy buena / Oso ona;23;0,17;26;Buena / Ona;16;Muy buena / Oso ona;0,44;Buena / Ona
12/03/2016;0,42;;0,22;Muy buena / Oso ona;0,14;6;51;Buena / Ona;34;0,23;15;Muy buena / Oso ona;8;Muy buena / Oso ona;0,47;Buena / Ona
11/03/2016;0,41;;0,21;Muy buena / Oso ona;0,12;6;50;Muy buena / Oso ona;33;0,2;8;Muy buena / Oso ona;4;Muy buena / Oso ona;0,53;Muy buena / Oso ona
10/03/2016;0,37;;0,22;Muy buena / Oso ona;0,18;4;44;Muy buena / Oso ona;29;0,49;5;Muy buena / Oso ona;1;Muy buena / Oso ona;0,42;Muy buena / Oso ona
09/03/2016;0,23;;0,23;Muy buena / Oso ona;0,1;0;20;Muy buena / Oso ona;8;0,21;7;Muy buena / Oso ona;2;Muy buena / Oso ona;0,37;Muy buena / Oso ona
08/03/2016;0,33;;0,24;Muy buena / Oso ona;0,16;4;64;Buena / Ona;28;0,47;8;Muy buena / Oso ona;3;Muy buena / Oso ona;0,51;Buena / Ona
07/03/2016;0,35;;0,18;Muy buena / Oso ona;0,2;3;43;Muy buena / Oso ona;25;0,61;6;Muy buena / Oso ona;2;Muy buena / Oso ona;0,49;Muy buena / Oso ona
06/03/2016;0,28;;0,18;Muy buena / Oso ona;0,15;0;26;Muy buena / Oso ona;12;0,37;4;Muy buena / Oso ona;1;Muy buena / Oso ona;0,2;Muy buena / Oso ona
05/03/2016;0,27;;0,17;Muy buena / Oso ona;0,14;0;18;Muy buena / Oso ona;9;0,42;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;0,28;Muy buena / Oso ona
